0Replay_id,Cluster
4-2-1-62848-4-2018-03-06T18-35-14-404,0
4-2-1-62848-4-2018-03-06T22-00-25-596,0
4-2-1-62848-5-2018-03-27T04-19-16-330,0
4-2-1-62848-5-2018-03-09T14-46-30-577,0
4-2-1-62848-4-2018-03-06T22-43-38-756,2
4-2-2-63454-5-2018-03-28T16-21-21-1260,0
4-2-1-62848-4-2018-03-06T23-13-08-886,2
4-2-1-62848-5-2018-03-09T14-59-17-585,0
4-2-1-62848-5-2018-03-09T15-03-58-430,0
4-2-2-63454-5-2018-03-28T16-40-06-564,0
4-2-1-62848-4-2018-03-06T23-14-04-849,0
4-2-1-62848-5-2018-03-09T15-06-13-540,2
4-2-1-62848-5-2018-03-27T04-27-10-647,2
4-2-1-62848-4-2018-03-06T23-18-49-344,0
4-2-1-62848-5-2018-03-09T15-06-32-1013,1
4-2-1-62848-5-2018-03-27T04-44-21-871,2
4-2-1-62848-4-2018-03-06T23-37-24-371,0
4-2-2-63454-5-2018-03-28T17-16-56-1611,0
4-2-1-62848-5-2018-03-09T15-25-20-446,0
4-2-1-62848-4-2018-03-06T23-56-48-333,0
4-2-1-62848-5-2018-03-27T04-54-19-531,0
4-2-1-62848-4-2018-03-07T00-09-19-234,2
4-2-1-62848-5-2018-03-27T04-57-47-774,1
4-2-1-62848-4-2018-03-07T00-09-51-443,0
4-2-2-63454-5-2018-03-28T17-46-35-684,0
4-2-1-62848-4-2018-03-07T00-33-42-337,0
4-2-1-62848-5-2018-03-27T04-57-59-429,2
4-2-2-63454-5-2018-03-28T17-52-27-1026,0
4-2-1-62848-4-2018-03-07T00-42-52-1042,2
4-2-1-62848-5-2018-03-27T05-00-32-906,1
4-2-1-62848-5-2018-03-09T16-50-29-425,0
4-2-1-62848-5-2018-03-27T07-12-49-762,0
4-2-1-62848-5-2018-03-09T17-00-39-985,0
4-2-1-62848-5-2018-03-27T07-41-49-520,2
4-2-2-63454-5-2018-03-28T21-08-50-730,0
4-2-1-62848-5-2018-03-09T17-27-10-253,1
4-2-1-62848-5-2018-03-27T08-15-30-964,2
4-2-1-62848-5-2018-03-09T17-35-57-367,0
4-2-1-62848-4-2018-03-07T01-13-49-636,0
4-2-2-63454-5-2018-03-28T21-34-55-1211,0
4-2-1-62848-5-2018-03-27T08-20-24-335,1
4-2-1-62848-5-2018-03-09T17-40-52-771,0
4-2-1-62848-4-2018-03-07T01-20-23-334,0
4-2-1-62848-5-2018-03-27T08-40-03-529,0
4-2-1-62848-4-2018-03-07T01-26-47-325,0
4-2-1-62848-4-2018-03-07T01-57-00-330,0
4-2-1-62848-5-2018-03-09T18-47-34-686,0
4-2-1-62848-5-2018-03-27T08-52-58-281,0
4-2-2-63454-5-2018-03-28T21-51-10-932,0
4-2-1-62848-4-2018-03-07T01-59-17-631,2
4-2-1-62848-5-2018-03-27T08-57-47-400,0
4-2-1-62848-5-2018-03-09T19-18-49-670,0
