,0Replay_id,Cluster
0,4-2-2-63454-5-2018-03-28T16-21-21-1260,3.0
1,4-2-1-62848-5-2018-03-09T15-06-32-1013,3.0
2,4-2-2-63454-5-2018-03-28T17-16-56-1611,3.0
3,4-2-2-63454-5-2018-03-28T17-52-27-1026,3.0
4,4-2-1-62848-4-2018-03-07T00-42-52-1042,0.0
5,4-2-1-62848-5-2018-03-27T05-00-32-906,1.0
6,4-2-1-62848-5-2018-03-09T17-00-39-985,3.0
7,4-2-1-62848-5-2018-03-27T08-15-30-964,3.0
8,4-2-2-63454-5-2018-03-28T21-34-55-1211,3.0
9,4-2-2-63454-5-2018-03-28T21-51-10-932,3.0
10,4-2-1-62848-5-2018-03-27T12-06-50-963,0.0
11,4-2-2-63454-5-2018-03-29T01-42-04-1668,0.0
12,4-2-1-62848-5-2018-03-27T12-39-38-1006,3.0
13,4-2-1-62848-4-2018-03-07T04-53-27-1012,3.0
14,4-2-1-62848-5-2018-03-10T00-17-00-1032,3.0
15,4-2-2-63454-5-2018-03-29T02-01-46-1071,0.0
16,4-2-1-62848-5-2018-03-27T16-29-05-1081,3.0
17,4-2-1-62848-4-2018-03-07T07-38-55-1068,3.0
18,4-2-2-63454-5-2018-03-29T08-23-18-1219,0.0
19,4-2-1-62848-4-2018-03-07T07-43-20-1146,1.0
20,4-2-1-62848-5-2018-03-10T04-11-30-1667,3.0
21,4-2-1-62848-6-2018-03-07T08-59-39-1036,3.0
22,4-2-2-63454-5-2018-03-29T14-33-53-993,3.0
23,4-2-1-62848-4-2018-03-07T12-06-55-1858,0.0
24,4-2-1-62848-6-2018-03-07T09-24-57-992,3.0
25,4-2-1-62848-4-2018-03-07T12-17-15-1158,0.0
26,4-2-1-62848-6-2018-03-07T18-22-27-1651,3.0
27,4-2-1-62848-4-2018-03-07T13-59-10-1027,1.0
28,4-2-2-63454-5-2018-03-29T22-38-53-900,3.0
29,4-2-1-62848-5-2018-03-10T12-16-00-1134,3.0
30,4-2-1-62848-5-2018-03-10T15-24-04-1000,3.0
31,4-2-1-62848-4-2018-03-07T20-17-55-1110,0.0
32,4-2-1-62848-4-2018-03-07T22-04-42-1259,3.0
33,4-2-2-63454-5-2018-03-30T09-03-18-959,1.0
34,4-2-1-62848-4-2018-03-07T23-09-13-1104,0.0
35,4-2-1-62848-6-2018-03-09T00-07-28-1068,0.0
36,4-2-1-62848-4-2018-03-08T00-26-31-1258,3.0
37,4-2-1-62848-5-2018-03-10T19-28-19-1400,3.0
38,4-2-1-62848-4-2018-03-08T01-29-57-1424,0.0
39,4-2-1-62848-5-2018-03-10T22-25-32-1144,0.0
40,4-2-2-63454-5-2018-03-30T18-46-09-1064,0.0
41,4-2-1-62848-6-2018-03-09T16-29-03-1385,3.0
42,4-2-1-62848-5-2018-03-10T23-12-20-1219,3.0
43,4-2-2-63454-5-2018-03-31T00-32-58-935,3.0
