,0Replay_id,Cluster
0,4-2-2-63454-5-2018-03-28T16-40-06-564,1
1,4-2-2-63454-5-2018-03-28T21-08-50-730,1
2,4-2-1-62848-5-2018-03-27T08-40-03-529,2
3,4-2-1-62848-5-2018-03-09T18-47-34-686,1
4,4-2-1-62848-5-2018-03-09T20-07-20-625,4
5,4-2-1-62848-5-2018-03-27T12-39-38-1006,1
6,4-2-1-62848-5-2018-03-10T00-11-34-779,4
7,4-2-1-62848-5-2018-03-27T12-43-59-870,1
8,4-2-2-63454-5-2018-03-29T01-49-57-607,1
9,4-2-1-62848-5-2018-03-27T12-57-26-629,4
10,4-2-1-62848-5-2018-03-27T18-38-01-688,4
11,4-2-1-62848-6-2018-03-07T08-47-31-572,1
12,4-2-1-62848-6-2018-03-07T08-59-39-1036,1
13,4-2-2-63454-5-2018-03-29T14-33-53-993,1
14,4-2-1-62848-6-2018-03-07T09-21-22-652,4
15,4-2-1-62848-6-2018-03-07T09-24-57-992,3
16,4-2-1-62848-5-2018-03-10T09-24-51-517,4
17,4-2-1-62848-6-2018-03-07T09-54-51-762,5
18,4-2-1-62848-6-2018-03-07T10-26-03-757,1
19,4-2-1-62848-6-2018-03-07T10-28-25-616,4
20,4-2-1-62848-6-2018-03-07T18-22-27-1651,4
21,4-2-1-62848-6-2018-03-07T19-12-07-739,1
22,4-2-1-62848-6-2018-03-08T08-20-55-519,1
23,4-2-1-62848-6-2018-03-08T09-53-44-618,0
24,4-2-1-62848-6-2018-03-08T10-29-36-881,3
25,4-2-1-62848-5-2018-03-10T15-17-27-515,3
26,4-2-1-62848-6-2018-03-08T12-48-32-646,5
27,4-2-1-62848-5-2018-03-10T15-44-23-851,1
28,4-2-1-62848-6-2018-03-08T14-39-32-605,0
29,4-2-1-62848-6-2018-03-08T14-58-17-914,3
30,4-2-2-63454-5-2018-03-30T08-46-31-700,6
31,4-2-1-62848-6-2018-03-08T15-04-48-526,4
32,4-2-1-62848-6-2018-03-08T15-12-02-640,1
33,4-2-1-62848-6-2018-03-08T15-36-54-694,2
34,4-2-2-63454-5-2018-03-30T09-03-18-959,6
35,4-2-1-62848-6-2018-03-08T16-03-38-894,3
36,4-2-1-62848-6-2018-03-08T23-58-37-740,0
37,4-2-2-63454-5-2018-03-30T14-01-41-555,2
38,4-2-1-62848-5-2018-03-10T18-57-39-497,0
39,4-2-1-62848-6-2018-03-09T00-07-28-1068,4
40,4-2-1-62848-6-2018-03-09T00-09-03-788,1
41,4-2-1-62848-6-2018-03-09T00-52-49-704,3
42,4-2-1-62848-6-2018-03-09T01-35-54-555,1
43,4-2-1-62848-5-2018-03-10T20-56-53-610,1
44,4-2-1-62848-6-2018-03-09T14-51-40-818,1
45,4-2-1-62848-6-2018-03-09T15-41-22-788,4
46,4-2-1-62848-6-2018-03-09T16-29-03-1385,4
47,4-2-1-62848-5-2018-03-11T00-21-15-500,1
48,4-2-1-62848-6-2018-03-10T03-12-53-703,4
49,4-2-2-63454-5-2018-03-31T00-32-58-935,1
50,4-2-2-63454-5-2018-03-31T00-45-48-577,1
51,4-2-1-62848-6-2018-03-10T05-34-37-521,4
52,4-2-1-62848-6-2018-03-10T05-49-09-876,3
53,4-2-1-62848-6-2018-03-10T05-53-27-519,6
54,4-2-1-62848-6-2018-03-10T06-27-53-624,4
55,4-2-1-62848-6-2018-03-10T07-12-50-554,1
56,4-2-1-62848-6-2018-03-10T15-36-42-604,1
57,4-2-1-62848-6-2018-03-10T15-56-47-488,4
58,4-2-1-62848-6-2018-03-10T16-23-55-765,0
59,4-2-1-62848-5-2018-03-11T03-23-02-717,1
60,4-2-1-62848-6-2018-03-10T23-29-51-667,4
61,4-2-1-62848-6-2018-03-11T00-47-47-563,1
62,4-2-2-63454-5-2018-03-31T11-59-00-847,4
63,4-2-1-62848-6-2018-03-11T03-38-02-539,4
64,4-2-1-62848-6-2018-03-11T05-26-17-891,1
65,4-2-2-63454-5-2018-03-31T12-24-42-810,1
66,4-2-1-62848-6-2018-03-11T05-28-02-643,1
67,4-2-1-62848-6-2018-03-11T18-05-00-620,1
68,4-2-1-62848-6-2018-03-11T18-19-30-549,1
69,4-2-1-62848-6-2018-03-11T18-53-37-631,1
70,4-2-1-62848-6-2018-03-11T19-23-36-787,1
71,4-2-1-62848-6-2018-03-11T19-39-49-721,4
72,4-2-1-62848-6-2018-03-11T20-48-25-905,1
73,4-2-1-62848-6-2018-03-12T07-37-09-548,1
74,4-2-1-62848-6-2018-03-12T07-41-51-936,4
75,4-2-2-63454-5-2018-04-01T01-18-28-824,1
76,4-2-1-62848-6-2018-03-12T07-54-13-1183,1
77,4-2-1-62848-5-2018-03-11T15-46-51-582,4
78,4-2-1-62848-6-2018-03-12T08-10-31-750,1
79,4-2-1-62848-6-2018-03-12T08-23-58-644,2
80,4-2-1-62848-6-2018-03-12T08-39-41-593,1
81,4-2-1-62848-5-2018-03-11T16-02-04-690,5
82,4-2-1-62848-6-2018-03-12T08-54-48-594,4
83,4-2-1-62848-6-2018-03-12T09-01-59-562,4
84,4-2-1-62848-5-2018-03-11T16-19-11-1080,3
85,4-2-1-62848-6-2018-03-12T09-10-43-1018,4
86,4-2-1-62848-6-2018-03-12T09-20-28-580,4
87,4-2-1-62848-6-2018-03-12T22-32-32-486,5
88,4-2-2-63454-5-2018-04-01T08-38-12-769,1
89,4-2-1-62848-6-2018-03-12T23-03-13-749,4
90,4-2-1-62848-6-2018-03-12T23-11-38-825,2
91,4-2-1-62848-6-2018-03-12T23-25-53-604,1
92,4-2-1-62848-6-2018-03-12T23-32-46-806,4
93,4-2-2-63454-5-2018-04-01T09-54-45-610,4
94,4-2-1-62848-6-2018-03-12T23-56-06-1374,1
95,4-2-1-62848-6-2018-03-13T12-01-50-765,1
96,4-2-1-62848-6-2018-03-13T15-17-32-524,5
97,4-2-1-62848-6-2018-03-13T16-34-15-692,1
98,4-2-1-62848-6-2018-03-13T23-02-57-501,4
99,4-2-1-62848-5-2018-03-12T02-00-18-520,2
100,4-2-1-62848-5-2018-03-12T03-59-46-630,1
101,4-2-1-62848-6-2018-03-14T03-59-31-501,2
102,4-2-1-62848-6-2018-03-14T03-59-34-589,4
103,4-2-1-62848-6-2018-03-14T05-29-03-1598,1
104,4-2-1-62848-6-2018-03-14T14-02-42-576,4
105,4-2-1-62848-6-2018-03-14T17-13-48-613,4
106,4-2-1-62848-6-2018-03-14T17-31-31-562,4
107,4-2-1-62848-6-2018-03-14T17-43-45-512,5
108,4-2-1-62848-6-2018-03-14T17-57-07-562,4
109,4-2-1-62848-6-2018-03-14T18-19-36-651,2
110,4-2-1-62848-6-2018-03-15T02-02-06-613,1
111,4-2-1-62848-6-2018-03-15T03-59-00-697,2
112,4-2-2-63454-5-2018-04-02T11-55-09-813,3
113,4-2-2-63454-5-2018-04-02T12-42-52-496,4
114,4-2-1-62848-6-2018-03-15T06-55-47-728,1
115,4-2-1-62848-6-2018-03-15T07-45-00-569,4
116,4-2-2-63454-5-2018-04-02T12-50-54-965,3
117,4-2-1-62848-6-2018-03-15T08-07-12-513,1
118,4-2-1-62848-6-2018-03-15T08-16-15-615,6
119,4-2-1-62848-6-2018-03-15T09-20-46-601,1
120,4-2-1-62848-6-2018-03-15T17-03-48-880,5
121,4-2-1-62848-6-2018-03-15T17-15-37-603,1
122,4-2-1-62848-6-2018-03-15T19-01-39-578,5
123,4-2-1-62848-6-2018-03-15T19-11-06-557,6
124,4-2-2-63454-5-2018-04-03T00-33-41-627,1
125,4-2-1-62848-6-2018-03-15T19-30-55-1255,5
126,4-2-1-62848-5-2018-03-12T17-08-43-1278,1
127,4-2-1-62848-6-2018-03-15T19-53-43-820,4
128,4-2-1-62848-6-2018-03-15T20-22-49-496,2
129,4-2-1-62848-6-2018-03-16T03-40-51-660,1
130,4-2-2-63454-5-2018-04-03T08-55-04-659,1
131,4-2-1-62848-6-2018-03-16T03-41-47-820,1
132,4-2-1-62848-6-2018-03-16T03-55-52-1057,4
133,4-2-2-63454-5-2018-04-03T09-41-32-1085,0
134,4-2-1-62848-6-2018-03-16T04-09-43-815,4
135,4-2-1-62848-6-2018-03-16T04-46-19-553,1
136,4-2-1-62848-6-2018-03-16T05-30-05-934,4
137,4-2-1-62848-6-2018-03-16T09-31-56-506,0
138,4-2-1-62848-6-2018-03-16T14-39-39-855,4
139,4-2-1-62848-6-2018-03-16T15-14-54-775,6
140,4-2-1-62848-6-2018-03-16T15-29-12-551,0
141,4-2-1-62848-6-2018-03-16T15-31-09-656,4
142,4-2-1-62848-6-2018-03-16T15-49-00-959,2
143,4-2-1-62848-5-2018-03-13T02-33-17-572,1
144,4-2-1-62848-6-2018-03-17T00-18-16-502,1
145,4-2-1-62848-5-2018-03-13T02-51-09-798,4
146,4-2-1-62848-6-2018-03-17T00-19-01-518,2
