,0Replay_id,Cluster
0,4-2-1-62848-4-2018-03-06T18-35-14-404,2
1,4-2-1-62848-4-2018-03-06T22-00-25-596,2
2,4-2-1-62848-5-2018-03-27T04-19-16-330,4
3,4-2-1-62848-5-2018-03-09T14-46-30-577,4
4,4-2-1-62848-4-2018-03-06T22-43-38-756,0
5,4-2-2-63454-5-2018-03-28T16-21-21-1260,4
6,4-2-1-62848-4-2018-03-06T23-13-08-886,0
7,4-2-1-62848-5-2018-03-09T14-59-17-585,4
8,4-2-1-62848-5-2018-03-09T15-03-58-430,4
9,4-2-2-63454-5-2018-03-28T16-40-06-564,4
10,4-2-1-62848-4-2018-03-06T23-14-04-849,4
11,4-2-1-62848-5-2018-03-09T15-06-13-540,1
12,4-2-1-62848-5-2018-03-27T04-27-10-647,1
13,4-2-1-62848-4-2018-03-06T23-18-49-344,4
14,4-2-1-62848-5-2018-03-09T15-06-32-1013,0
15,4-2-1-62848-5-2018-03-27T04-44-21-871,0
16,4-2-1-62848-4-2018-03-06T23-37-24-371,2
17,4-2-2-63454-5-2018-03-28T17-16-56-1611,4
18,4-2-1-62848-5-2018-03-09T15-25-20-446,3
19,4-2-1-62848-4-2018-03-06T23-56-48-333,2
20,4-2-1-62848-5-2018-03-27T04-54-19-531,4
21,4-2-1-62848-4-2018-03-07T00-09-19-234,0
22,4-2-1-62848-5-2018-03-27T04-57-47-774,0
23,4-2-1-62848-4-2018-03-07T00-09-51-443,4
24,4-2-2-63454-5-2018-03-28T17-46-35-684,4
25,4-2-1-62848-4-2018-03-07T00-33-42-337,2
26,4-2-1-62848-5-2018-03-27T04-57-59-429,1
27,4-2-2-63454-5-2018-03-28T17-52-27-1026,4
28,4-2-1-62848-4-2018-03-07T00-42-52-1042,4
29,4-2-1-62848-5-2018-03-27T05-00-32-906,0
30,4-2-1-62848-5-2018-03-09T16-50-29-425,4
31,4-2-1-62848-5-2018-03-27T07-12-49-762,4
32,4-2-1-62848-5-2018-03-09T17-00-39-985,3
33,4-2-1-62848-5-2018-03-27T07-41-49-520,4
34,4-2-2-63454-5-2018-03-28T21-08-50-730,4
35,4-2-1-62848-5-2018-03-09T17-27-10-253,0
36,4-2-1-62848-5-2018-03-27T08-15-30-964,1
37,4-2-1-62848-5-2018-03-09T17-35-57-367,4
38,4-2-1-62848-4-2018-03-07T01-13-49-636,4
39,4-2-2-63454-5-2018-03-28T21-34-55-1211,4
40,4-2-1-62848-5-2018-03-27T08-20-24-335,0
41,4-2-1-62848-5-2018-03-09T17-40-52-771,4
42,4-2-1-62848-4-2018-03-07T01-20-23-334,2
43,4-2-1-62848-5-2018-03-27T08-40-03-529,4
44,4-2-1-62848-4-2018-03-07T01-26-47-325,4
45,4-2-1-62848-4-2018-03-07T01-57-00-330,2
