,0Frame_id,0P1_mmr,0P2_mmr,0Replay_id,P1_Supply_army,P1_Supply_total,P1_Supply_used,P1_Supply_workers,P1_Unit_Assimilator,P1_Unit_Forge,P1_Unit_Gateway,P1_Unit_Nexus,P1_Unit_Probe,P1_Unit_Pylon,P1_minerals,P1_vespene,P2_Supply_army,P2_Supply_total,P2_Supply_used,P2_Supply_workers,P2_Unit_Assimilator,P2_Unit_Forge,P2_Unit_Gateway,P2_Unit_Nexus,P2_Unit_PhotonCannon,P2_Unit_Probe,P2_Unit_Pylon,P2_minerals,P2_vespene
0,1440.0,0.0,3635.0,4-2-1-62848-4-2018-03-06T18-35-14-404,0.0,23.0,18.0,17.0,1.0,0.0,1.0,1.0,16.0,1.0,100.0,36.0,0.0,23.0,18.0,17.0,1.0,0.0,1.0,1.0,0.0,17.0,1.0,155.0,0.0
1,1440.0,3409.0,3401.0,4-2-1-62848-4-2018-03-06T22-00-25-596,0.0,23.0,18.0,17.0,0.0,0.0,0.0,1.0,17.0,1.0,275.0,0.0,0.0,23.0,18.0,17.0,1.0,0.0,1.0,1.0,0.0,17.0,1.0,140.0,0.0
2,1440.0,0.0,4237.0,4-2-1-62848-5-2018-03-27T04-19-16-330,0.0,23.0,18.0,17.0,1.0,0.0,1.0,1.0,17.0,1.0,170.0,0.0,0.0,23.0,17.0,16.0,1.0,0.0,1.0,1.0,0.0,16.0,1.0,155.0,0.0
3,1440.0,4159.0,4218.0,4-2-1-62848-5-2018-03-09T14-46-30-577,0.0,23.0,19.0,18.0,2.0,0.0,1.0,1.0,18.0,1.0,85.0,0.0,0.0,23.0,18.0,17.0,1.0,0.0,1.0,1.0,0.0,17.0,1.0,135.0,0.0
4,1440.0,3379.0,0.0,4-2-1-62848-4-2018-03-06T22-43-38-756,0.0,31.0,16.0,16.0,0.0,1.0,0.0,1.0,16.0,2.0,120.0,0.0,0.0,23.0,17.0,16.0,2.0,1.0,0.0,1.0,0.0,16.0,1.0,45.0,0.0
5,1440.0,4002.0,4114.0,4-2-1-62848-5-2018-03-09T14-51-03-157,0.0,23.0,18.0,17.0,2.0,0.0,1.0,1.0,17.0,1.0,80.0,0.0,0.0,23.0,17.0,16.0,0.0,1.0,0.0,1.0,0.0,16.0,1.0,220.0,0.0
6,1440.0,3785.0,3726.0,4-2-2-63454-5-2018-03-28T16-21-21-1260,0.0,23.0,18.0,17.0,2.0,0.0,1.0,1.0,17.0,1.0,65.0,0.0,0.0,23.0,17.0,16.0,2.0,0.0,1.0,1.0,0.0,16.0,1.0,110.0,0.0
7,1440.0,3916.0,3929.0,4-2-1-62848-5-2018-03-09T14-57-33-218,0.0,23.0,18.0,17.0,1.0,0.0,1.0,1.0,17.0,1.0,115.0,0.0,0.0,23.0,15.0,15.0,0.0,0.0,0.0,1.0,0.0,15.0,2.0,370.0,0.0
8,1440.0,3848.0,0.0,4-2-1-62848-5-2018-03-27T04-21-43-1080,0.0,23.0,16.0,16.0,0.0,0.0,0.0,2.0,16.0,1.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1440.0,0.0,3378.0,4-2-1-62848-4-2018-03-06T23-13-08-886,0.0,23.0,17.0,16.0,0.0,1.0,0.0,1.0,16.0,2.0,195.0,0.0,0.0,23.0,17.0,16.0,0.0,1.0,0.0,1.0,0.0,16.0,3.0,90.0,0.0
10,1440.0,4096.0,4098.0,4-2-1-62848-5-2018-03-09T14-59-17-585,0.0,23.0,19.0,18.0,1.0,0.0,1.0,1.0,18.0,1.0,165.0,0.0,0.0,23.0,18.0,17.0,2.0,0.0,1.0,1.0,0.0,17.0,1.0,80.0,0.0
11,1440.0,3527.0,3435.0,4-2-1-62848-5-2018-03-09T15-03-58-430,0.0,23.0,17.0,16.0,1.0,0.0,1.0,1.0,16.0,1.0,135.0,0.0,0.0,23.0,18.0,17.0,1.0,0.0,1.0,1.0,0.0,17.0,1.0,180.0,0.0
12,1440.0,4673.0,4432.0,4-2-2-63454-5-2018-03-28T16-40-06-564,0.0,23.0,17.0,16.0,0.0,0.0,2.0,1.0,16.0,1.0,170.0,0.0,0.0,23.0,18.0,17.0,1.0,0.0,1.0,1.0,0.0,17.0,1.0,135.0,0.0
13,1440.0,3612.0,3593.0,4-2-1-62848-4-2018-03-06T23-14-04-849,0.0,23.0,18.0,17.0,1.0,0.0,1.0,1.0,17.0,1.0,95.0,0.0,0.0,23.0,17.0,16.0,1.0,0.0,1.0,1.0,0.0,15.0,1.0,160.0,12.0
14,1440.0,3643.0,3647.0,4-2-1-62848-5-2018-03-09T15-06-13-540,0.0,23.0,18.0,17.0,1.0,1.0,0.0,1.0,17.0,1.0,155.0,0.0,0.0,23.0,18.0,17.0,2.0,0.0,1.0,1.0,0.0,17.0,1.0,50.0,0.0
15,1440.0,3690.0,3516.0,4-2-1-62848-5-2018-03-27T04-27-10-647,0.0,23.0,17.0,16.0,0.0,1.0,0.0,1.0,16.0,2.0,70.0,0.0,0.0,23.0,17.0,17.0,0.0,0.0,0.0,2.0,0.0,17.0,1.0,50.0,0.0
16,1440.0,0.0,3665.0,4-2-2-63454-5-2018-03-28T16-49-16-102,0.0,23.0,18.0,17.0,2.0,0.0,1.0,1.0,17.0,1.0,120.0,0.0,0.0,15.0,15.0,15.0,0.0,0.0,0.0,2.0,0.0,15.0,1.0,55.0,0.0
17,1440.0,3462.0,3848.0,4-2-1-62848-4-2018-03-06T23-18-49-344,0.0,23.0,18.0,17.0,2.0,0.0,1.0,1.0,17.0,1.0,70.0,0.0,0.0,23.0,17.0,17.0,0.0,0.0,1.0,1.0,0.0,17.0,1.0,275.0,0.0
18,1440.0,4023.0,4098.0,4-2-1-62848-5-2018-03-09T15-06-32-1013,0.0,23.0,19.0,18.0,2.0,0.0,1.0,1.0,18.0,1.0,45.0,0.0,0.0,23.0,18.0,17.0,0.0,1.0,0.0,1.0,0.0,17.0,2.0,75.0,0.0
19,1440.0,3401.0,3375.0,4-2-1-62848-4-2018-03-06T23-19-35-134,0.0,23.0,17.0,16.0,1.0,0.0,1.0,1.0,16.0,1.0,200.0,0.0,0.0,23.0,17.0,17.0,0.0,1.0,0.0,1.0,0.0,17.0,2.0,180.0,0.0
20,1440.0,4151.0,0.0,4-2-1-62848-5-2018-03-27T04-44-21-871,0.0,23.0,18.0,17.0,0.0,1.0,1.0,1.0,17.0,1.0,60.0,0.0,0.0,23.0,17.0,16.0,2.0,0.0,1.0,1.0,0.0,16.0,1.0,85.0,0.0
21,1440.0,3538.0,3556.0,4-2-1-62848-4-2018-03-06T23-37-24-371,0.0,23.0,18.0,17.0,1.0,0.0,1.0,1.0,17.0,1.0,20.0,0.0,0.0,23.0,18.0,17.0,1.0,0.0,2.0,1.0,0.0,17.0,1.0,40.0,0.0
22,1440.0,3840.0,3746.0,4-2-2-63454-5-2018-03-28T17-16-56-1611,0.0,23.0,18.0,17.0,2.0,0.0,1.0,1.0,17.0,1.0,70.0,0.0,0.0,23.0,17.0,16.0,2.0,0.0,1.0,1.0,0.0,15.0,1.0,40.0,12.0
23,1440.0,4658.0,4984.0,4-2-1-62848-5-2018-03-09T15-25-20-446,0.0,23.0,18.0,17.0,2.0,0.0,1.0,1.0,17.0,1.0,100.0,0.0,0.0,23.0,18.0,17.0,2.0,0.0,1.0,1.0,0.0,17.0,1.0,70.0,0.0
24,1440.0,3441.0,3433.0,4-2-1-62848-4-2018-03-06T23-56-48-333,0.0,23.0,19.0,18.0,1.0,0.0,1.0,1.0,18.0,1.0,150.0,0.0,0.0,23.0,17.0,16.0,2.0,0.0,1.0,1.0,0.0,16.0,1.0,50.0,0.0
25,1440.0,0.0,4323.0,4-2-1-62848-5-2018-03-27T04-54-19-531,0.0,23.0,18.0,17.0,1.0,0.0,1.0,1.0,17.0,1.0,105.0,0.0,0.0,23.0,18.0,17.0,2.0,0.0,1.0,1.0,0.0,17.0,1.0,40.0,0.0
